metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
gatekeeper.audit.duration.seconds.sum,count,,second,,Latency of audit operation in seconds,,gatekeeper,gk.audit_duration.sum
gatekeeper.audit.duration.seconds.count,count,,second,,Latency of audit operation in seconds,,gatekeeper,gk.audit_duration.cnt
gatekeeper.audit.last_run_time,gauge,,timestamp,,Timestamp of last audit operation,,gatekeeper,gk.audit_last
gatekeeper.constraint_template_ingestion.duration.seconds.sum,count,,second,,Distribution of how long it took to ingest a constraint template in seconds,,gatekeeper,gk.ing_duration.sum
gatekeeper.constraint_template_ingestion.duration.seconds.count,count,,second,,Distribution of how long it took to ingest a constraint template in seconds,,gatekeeper,gk.ing_duration.cnt
gatekeeper.constraint_template_ingestion.count,count,,,,Total number of constraint template ingestion actions,gatekeeper,gk.ing_cnt
gatekeeper.violations,gauge,,,,Total number of violations per constraint,gatekeeper,gk.violations
gatekeeper.constraints,gauge,,,,Current number of known constraints,gatekeeper,gk.constraints
gatekeeper.constraint_templates,gauge,,,,Number of observed constraint templates,gatekeeper,gk.constraint_tmpl
gatekeeper.request.duration.seconds.sum,count,,second,,The response time in seconds,,gatekeeper,gk.duration.sum
gatekeeper.request.duration.seconds.count,count,,second,,The response time in seconds,,gatekeeper,gk.duration.cnt
gatekeeper.request.count,count,,,,Total number of requests that are routed to webhook,gatekeeper,gk.req_cnt
gatekeeper.sync,gauge,,,,Total number of resources of each kind being cached,gatekeeper,gk.sync
gatekeeper.sync.duration.seconds.sum,count,,second,,Latency of sync operation in seconds,,gatekeeper,gk.sync_duration.sum
gatekeeper.sync.duration.seconds.count,count,,second,,Latency of sync operation in seconds,,gatekeeper,gk.sync_duration.cnt
gatekeeper.sync.last_run_time,gauge,,timestamp,,Timestamp of last sync operation,,gatekeeper,gk.sync_last
gatekeeper.watch.intended,gauge,,,,The total number of Group/Version/Kinds that the watch manager has instructions to watch,,gatekeeper,gk.watch_intented
gatekeeper.watch.watched,gauge,,,,The total number of Group/Version/Kinds currently watched by the watch manager,,gatekeeper,gk.watch_watched
