metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
redpanda.application.build,gauge,,,,Redpanda build information,-1,redpanda,application build ,
redpanda.application.uptime,gauge,,second,,Redpanda uptime in seconds,-1,redpanda,application uptime ,
redpanda.controller.log_limit_requests_available,gauge,,request,,Controller log rate limiting. Available rps for group,-1,redpanda,controller log limit requests available ,
redpanda.controller.log_limit_requests_dropped,counter,,request,,Controller log rate limiting. Amount of requests that are dropped due to exceeding limit in group,-1,redpanda,controller log limit requests dropped ,
redpanda.partitions.moving_from_node,gauge,,,,Amount of partitions that are moving from node,-1,redpanda,partitions moving from node ,
redpanda.partitions.moving_to_node,gauge,,,,Amount of partitions that are moving to node,-1,redpanda,partitions moving to node ,
redpanda.partitions.node_cancelling_movements,gauge,,,,Amount of cancelling partition movements for node,-1,redpanda,partitions node cancelling movements ,
redpanda.reactor.cpu_busy_ms,gauge,,millisecond,,Total CPU busy time in seconds,-1,redpanda,reactor cpu busy ms ,
redpanda.io_queue.total_read_ops,counter,,operation,,Total read operations passed in the queue,-1,redpanda,io queue total read ops ,
redpanda.io_queue.total_write_ops,counter,,operation,,Total write operations passed in the queue,-1,redpanda,io queue total write ops ,
redpanda.kafka.group_offset,gauge,,,,Consumer group committed offset,-1,redpanda,kafka group offset ,
redpanda.kafka.group_count,gauge,,,,Number of consumers in a group,-1,redpanda,kafka group count ,
redpanda.kafka.group_topic_count,gauge,,,,Number of topics in a group,-1,redpanda,kafka group topic count ,
redpanda.cluster.partitions,gauge,,,,Configured number of partitions for the topic,-1,redpanda,cluster partitions ,
redpanda.cluster.replicas,gauge,,,,Configured number of replicas for the topic,-1,redpanda,cluster replicas ,
redpanda.kafka.request_latency_seconds,histogram,,second,,Internal latency of kafka produce requests,-1,redpanda,kafka request latency seconds ,
redpanda.kafka.under_replicated_replicas,gauge,,,,"Number of under replicated replicas (i.e. replicas that are live, but not at the latest offest)",-1,redpanda,kafka under replicated replicas ,
redpanda.memory.allocated_memory,gauge,,byte,,Allocated memory size in bytes,-1,redpanda,memory allocated memory ,
redpanda.memory.available_memory_low_water_mark,gauge,,byte,,The low-water mark for available_memory from process start,-1,redpanda,memory available memory low water mark ,
redpanda.memory.available_memory,gauge,,byte,,Total shard memory potentially available in bytes (free_memory plus reclaimable),-1,redpanda,memory available memory ,
redpanda.memory.free_memory,gauge,,byte,,Free memory size in bytes,-1,redpanda,memory free memory ,
redpanda.node_status.rpcs_received,gauge,,request,,Number of node status RPCs received by this node,-1,redpanda,node status rpcs received ,
redpanda.node_status.rpcs_sent,gauge,,request,,Number of node status RPCs sent by this node,-1,redpanda,node status rpcs sent ,
redpanda.node_status.rpcs_timed_out,gauge,,request,,Number of timed out node status RPCs from this node,-1,redpanda,node status rpcs timed out ,
redpanda.raft.leadership_changes,counter,,,,Number of leadership changes across all partitions of a given topic,-1,redpanda,raft leadership changes ,
redpanda.raft.recovery_bandwidth,gauge,,,,Bandwidth available for partition movement. bytes/sec,-1,redpanda,raft recovery bandwidth ,
redpanda.pandaproxy.request_errors,counter,,error,,Total number of rest_proxy server errors,-1,redpanda,pandaproxy request errors ,
redpanda.pandaproxy.request_latency,histogram,,millisecond,,Internal latency of request for rest_proxy,-1,redpanda,pandaproxy request latency ,
redpanda.rpc.active_connections,gauge,,connection,,Count of currently active connections,-1,redpanda,rpc active connections ,
redpanda.rpc.request_errors,counter,,error,,Number of rpc errors,-1,redpanda,rpc request errors ,
redpanda.rpc.request_latency_seconds,histogram,,second,,RPC latency,-1,redpanda,rpc request latency seconds ,
redpanda.scheduler.runtime_seconds,counter,,second,,Accumulated runtime of task queue associated with this scheduling group,-1,redpanda,scheduler runtime seconds ,
redpanda.schema_registry.errors,counter,,error,,Total number of schema_registry server errors,-1,redpanda,schema registry errors ,
redpanda.schema_registry_latency_seconds,histogram,,second,,Internal latency of request for schema_registry,-1,redpanda,schema registry latency seconds ,
redpanda.storage.disk_free_bytes,counter,,byte,,Disk storage bytes free.,-1,redpanda,storage disk free bytes ,
redpanda.storage.disk_free_space_alert,gauge,,,,"Status of low storage space alert. 0-OK, 1-Low Space 2-Degraded",-1,redpanda,storage disk free space alert ,
redpanda.storage.disk_total_bytes,counter,,byte,,"Total size of attached storage, in bytes.",-1,redpanda,storage disk total bytes ,
redpanda.cloud.client_backoff,counter,,,,Total number of requests that backed off,-1,redpanda,cloud client backoff,
redpanda.cloud.client_download_backoff,counter,,,,Total number of download requests that backed off,-1,redpanda,cloud client download backoff,
redpanda.cloud.client_downloads,counter,,,,Total number of requests that downloaded an object from cloud storage,-1,redpanda,cloud client downloads,
redpanda.cloud.client_not_found,counter,,,,Total number of requests for which the object was not found,-1,redpanda,cloud client not found,
redpanda.cloud.client_upload_backoff,counter,,,,Total number of upload requests that backed off,-1,redpanda,cloud client upload backoff,
redpanda.cloud.client_uploads,counter,,,,Total number of requests that uploaded an object to cloud storage,-1,redpanda,cloud client uploads,
redpanda.cloud.storage.active_segments,gauge,,,,Number of remote log segments currently hydrated for read,-1,redpanda,cloud storage active segments,
redpanda.cloud.storage.cache_op_hit,counter,,,,Number of get requests for objects that are already in cache.,-1,redpanda,cloud storage cache op hit,
redpanda.cloud.storage.op_in_progress_files,gauge,,,,Number of files that are being put to cache.,-1,redpanda,cloud storage op in progress files,
redpanda.cloud.storage.cache_op_miss,counter,,,,Number of get requests that are not satisfied from the cache.,-1,redpanda,cloud storage cache op miss,
redpanda.cloud.storage.op_put,counter,,operation,,Number of objects written into cache.,-1,redpanda,cloud storage op put,
redpanda.cloud.storage.cache_space_files,gauge,,,,Number of objects in cache.,-1,redpanda,cloud storage cache space files,
redpanda.cloud.storage.cache_space_size_bytes,gauge,,byte,,Sum of size of cached objects.,-1,redpanda,cloud storage cache space size bytes,
redpanda.cloud.storage.deleted_segments,counter,,,,Number of segments that have been deleted from S3 for the topic. This may grow due to retention or non compacted segments being replaced with their compacted equivalent.,-1,redpanda,cloud storage deleted segments,
redpanda.cloud.storage.errors,counter,,error,,Number of transmit errors,-1,redpanda,cloud storage errors,
redpanda.cloud.storage.housekeeping.drains,gauge,,,,Number of times upload housekeeping queue was drained,-1,redpanda,cloud storage housekeeping drains,
redpanda.cloud.storage.housekeeping.jobs_completed,counter,,,,Number of executed housekeeping jobs,-1,redpanda,cloud storage housekeeping jobs completed,
redpanda.cloud.storage.housekeeping.jobs_failed,counter,,error,,Number of failed housekeeping jobs,-1,redpanda,cloud storage housekeeping jobs failed,
redpanda.cloud.storage.housekeeping.jobs_skipped,counter,,,,Number of skipped housekeeping jobs,-1,redpanda,cloud storage housekeeping jobs skipped,
redpanda.cloud.storage.housekeeping.pauses,gauge,,,,Number of times upload housekeeping was paused,-1,redpanda,cloud storage housekeeping pauses,
redpanda.cloud.storage.housekeeping.resumes,gauge,,,,Number of times upload housekeeping was resumed,-1,redpanda,cloud storage housekeeping resumes,
redpanda.cloud.storage.housekeeping.rounds,counter,,,,Number of upload housekeeping rounds,-1,redpanda,cloud storage housekeeping rounds,
redpanda.cloud.storage.jobs.cloud_segment_reuploads,gauge,,,,Number of segment reuploads from cloud storage sources (cloud storage cache or direct download from cloud storage),-1,redpanda,cloud storage jobs cloud segment reuploads,
redpanda.cloud.storage.jobs.local_segment_reuploads,gauge,,,,Number of segment reuploads from local data directory,-1,redpanda,cloud storage jobs local segment reuploads,
redpanda.cloud.storage.jobs.manifest_reuploads,gauge,,,,Number of manifest reuploads performed by all housekeeping jobs,-1,redpanda,cloud storage jobs manifest reuploads,
redpanda.cloud.storage.jobs.metadata_syncs,gauge,,,,Number of archival configuration updates performed by all housekeeping jobs,-1,redpanda,cloud storage jobs metadata syncs,
redpanda.cloud.storage.jobs.segment_deletions,gauge,,,,Number of segments deleted by all housekeeping jobs,-1,redpanda,cloud storage jobs segment deletions,
redpanda.cloud.storage.readers,gauge,,,,Total number of segments pending deletion from the cloud for the topic,-1,redpanda,cloud storage readers,
redpanda.cloud.storage.segments,gauge,,,,Total number of uploaded bytes for the topic,-1,redpanda,cloud storage segments,
redpanda.cloud.storage.segments_pending_deletion,gauge,,,,Number of read cursors for hydrated remote log segments,-1,redpanda,cloud storage segments pending deletion,
redpanda.cloud.storage.uploaded_bytes,counter,,byte,,Total number of accounted segments in the cloud for the topic,-1,redpanda,cloud storage uploaded bytes,
redpanda.cluster.brokers,gauge,,,,Number of configured brokers in the cluster,-1,redpanda,cluster brokers,
redpanda.cluster.controller_log_limit_requests_dropped,counter,,,,Controller log rate limiting. Amount of requests that are dropped due to exceeding limit in group,-1,redpanda,cluster controller log limit requests dropped,
redpanda.cluster.partition_num_with_broken_rack_constraint,gauge,,,,Number of partitions that don't satisfy the rack awareness constraint,-1,redpanda,cluster partition num with broken rack constraint,
redpanda.cluster.topics,gauge,,,,Number of topics in the cluster,-1,redpanda,cluster topics,
redpanda.cluster.unavailable_partitions,gauge,,,,Number of partitions that lack quorum among replicants,-1,redpanda,cluster unavailable partitions,
redpanda.kafka.partition_committed_offset,gauge,,,,Latest committed offset for the partition (i.e. the offset of the last message safely persisted on most replicas),-1,redpanda,kafka partition committed offset,
redpanda.kafka.partitions,gauge,,,,Configured number of partitions for the topic,-1,redpanda,kafka partitions,
redpanda.kafka.replicas,gauge,,,,Configured number of replicas for the topic,-1,redpanda,kafka replicas,
redpanda.kafka.request_bytes,counter,,byte,,Total number of bytes produced per topic,-1,redpanda,kafka request bytes,
