metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
hikaricp.connections,gauge,,,,Number of connections,0,hikaricp,connection number,
hikaricp.connections.timeout.count,count,,,,Total number of timeout connections,0,hikaricp,connection timeout total,
hikaricp.connections.active,gauge,,,,Number of active connections,0,hikaricp,active connection number,
hikaricp.connections.idle,gauge,,,,Number of idle connections,0,hikaricp,idle connection number,
hikaricp.connections.pending,gauge,,,,Number of pending connections,0,hikaricp,pending connection number,
hikaricp.connections.acquire.seconds.count,count,,second,,Count of acquire connection time.,0,hikaricp,acquire connections time seconds,
hikaricp.connections.acquire.seconds.max,gauge,,second,, Max of acquire connection time.,0,hikaricp,acquire connections time seconds,
hikaricp.connections.acquire.seconds.sum,count,,second,,Sum of acquire connection time.,0,hikaricp,acquire connections time seconds,
hikaricp.connections.creation.seconds.count,count,,second,,Count of creation connection time.,0,hikaricp,creation connections time seconds,
hikaricp.connections.creation.seconds.max,gauge,,second,,Max of creation connection time.,0,hikaricp,creation connections time seconds,
hikaricp.connections.creation.seconds.sum,count,,second,,Sum of creation connection time.,0,hikaricp,creation connections time seconds,
hikaricp.connections.usage.seconds.count,count,,second,,Count of usage connection time.,0,hikaricp,usage connections time seconds,
hikaricp.connections.usage.seconds.max,gauge,,second,,Max of usage connection time.,0,hikaricp,usage connections time seconds,
hikaricp.connections.usage.seconds.sum,count,,second,,Sum of usage connection time.,0,hikaricp,usage connections time seconds,
