metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
rdsc.bdb_avg_latency,gauge,15,second,,Average latency of operations on the DB (seconds); returned only when there is traffic,-1,redis_cloud,bdb_avg_latency,
rdsc.bdb_avg_latency_max,gauge,15,second,,Highest value of average latency of operations on the DB (seconds); returned only when there is traffic,1,redis_cloud,bdb_avg_latency_max,
rdsc.bdb_avg_read_latency,gauge,15,second,,Average latency of read operations (seconds); returned only when there is traffic,-1,redis_cloud,bdb_avg_read_latency,
rdsc.bdb_avg_read_latency_max,gauge,15,second,,Highest value of average latency of read operations (seconds);returned only when there is traffic,1,redis_cloud,bdb_avg_read_latency_max,
rdsc.bdb_avg_write_latency,gauge,15,second,,Average latency of write operations (seconds); returned only when there is traffic,-1,redis_cloud,bdb_avg_write_latency,
rdsc.bdb_avg_write_latency_max,gauge,15,second,,Highest value of average latency of write operations (seconds); returned only when there is traffic,1,redis_cloud,bdb_avg_write_latency_max,
rdsc.bdb_conns,gauge,15,connection,,Number of client connections to DB,0,redis_cloud,bdb_conns,
rdsc.bdb_egress_bytes,gauge,15,second,,Rate of outgoing network traffic from the DB (bytes/sec),0,redis_cloud,bdb_egress_bytes,
rdsc.bdb_egress_bytes_max,gauge,15,second,,Highest value of rate of outgoing network traffic from the DB (bytes/sec),1,redis_cloud,bdb_egress_bytes_max,
rdsc.bdb_evicted_objects,gauge,15,eviction,,Rate of key evictions from DB (evictions/sec),0,redis_cloud,bdb_evicted_objects,
rdsc.bdb_evicted_objects_max,gauge,15,eviction,,Highest value of rate of key evictions from DB (evictions/sec),1,redis_cloud,bdb_evicted_objects_max,
rdsc.bdb_expired_objects,gauge,15,eviction,,Rate keys expired in DB (expirations/sec),0,redis_cloud,bdb_expired_objects,
rdsc.bdb_expired_objects_max,gauge,15,eviction,,eventHighest value of rate keys expired in DB (expirations/sec),1,redis_cloud,bdb_expired_objects_max,
rdsc.bdb_fork_cpu_system,gauge,15,cpu,,% cores utilization in system mode for all redis shard fork child processes of this database,0,redis_cloud,bdb_fork_cpu_system,
rdsc.bdb_fork_cpu_system_max,gauge,15,cpu,,Highest value of % cores utilization in system mode for all redis shard fork child processes of this database,1,redis_cloud,bdb_fork_cpu_system_max,
rdsc.bdb_fork_cpu_user,gauge,15,cpu,,% cores utilization in user mode for all redis shard fork child processes of this database,0,redis_cloud,bdb_fork_cpu_user,
rdsc.bdb_fork_cpu_user_max,gauge,15,cpu,,Highest value of % cores utilization in user mode for all redis shard fork child processes of this database,1,redis_cloud,bdb_fork_cpu_user_max,
rdsc.bdb_ingress_bytes,gauge,15,second,,Rate of incoming network traffic to DB (bytes/sec),0,redis_cloud,bdb_ingress_bytes,
rdsc.bdb_ingress_bytes_max,gauge,15,second,,Highest value of rate of incoming network traffic to DB (bytes/sec),1,redis_cloud,bdb_ingress_bytes_max,
rdsc.bdb_instantaneous_ops_per_sec,gauge,15,operation,,Request rate handled by all shards of DB (ops/sec),0,redis_cloud,bdb_instantaneous_ops_per_sec,
rdsc.bdb_main_thread_cpu_system,gauge,15,cpu,,% cores utilization in system mode for all redis shard main threas of this database,0,redis_cloud,bdb_main_thread_cpu_system,
rdsc.bdb_main_thread_cpu_system_max,gauge,15,cpu,,Highest value of % cores utilization in system mode for all redis shard main threas of this database,1,redis_cloud,bdb_main_thread_cpu_system_max,
rdsc.bdb_main_thread_cpu_user,gauge,15,cpu,,% cores utilization in user mode for all redis shard main threads of this database,0,redis_cloud,bdb_main_thread_cpu_user,
rdsc.bdb_main_thread_cpu_user_max,gauge,15,cpu,,Highest value of % cores utilization in user mode for all redis shard main threads of this database,1,redis_cloud,bdb_main_thread_cpu_user_max,
rdsc.bdb_mem_frag_ratio,gauge,15,percent,,RAM fragmentation ratio (RSS / allocated RAM),0,redis_cloud,bdb_mem_frag_ratio,
rdsc.bdb_mem_size_lua,gauge,15,byte,,Redis lua scripting heap size (bytes),0,redis_cloud,bdb_mem_size_lua,
rdsc.bdb_memory_limit,gauge,15,byte,,Configured RAM limit for the database (bytes),0,redis_cloud,bdb_memory_limit,
rdsc.bdb_monitor_sessions_count,gauge,15,session,,Number of client connected in monitor mode to the DB,1,redis_cloud,bdb_monitor_sessions_count,
rdsc.bdb_no_of_keys,gauge,15,key,,Number of keys in DB,0,redis_cloud,bdb_no_of_keys,
rdsc.bdb_other_req,gauge,15,request,,Rate of other (non read/write) requests on DB (ops/sec),0,redis_cloud,bdb_other_req,
rdsc.bdb_other_req_max,gauge,15,request,,Highest value of rate of other (non read/write) requests on DB (ops/sec),1,redis_cloud,bdb_other_req_max,
rdsc.bdb_other_res,gauge,15,response,,Rate of other (non read/write) responses on DB (ops/sec),0,redis_cloud,bdb_other_res,
rdsc.bdb_other_res_max,gauge,15,response,,Highest value of rate of other (non read/write) responses on DB (ops/sec),1,redis_cloud,bdb_other_res_max,
rdsc.bdb_pubsub_channels,gauge,15,key,,Count the pub/sub channels with subscribed clients,0,redis_cloud,bdb_pubsub_channels,
rdsc.bdb_pubsub_channels_max,gauge,15,key,,Highest value of count the pub/sub channels with subscribed clients,1,redis_cloud,bdb_pubsub_channels_max,
rdsc.bdb_pubsub_patterns,gauge,15,key,,Count the pub/sub patterns with subscribed clients,0,redis_cloud,bdb_pubsub_patterns,
rdsc.bdb_pubsub_patterns_max,gauge,15,key,,Highest value of count the pub/sub patterns with subscribed clients,1,redis_cloud,bdb_pubsub_patterns_max,
rdsc.bdb_read_hits,gauge,15,hit,,Rate of read operations accessing an existing key (ops/sec),0,redis_cloud,bdb_read_hits,
rdsc.bdb_read_hits_max,gauge,15,hit,,Highest value of rate of read operations accessing an existing key (ops/sec),1,redis_cloud,bdb_read_hits_max,
rdsc.bdb_read_misses,gauge,15,miss,,Rate of read operations accessing a non-existing key (ops/sec),0,redis_cloud,bdb_read_misses,
rdsc.bdb_read_misses_max,gauge,15,miss,,Highest value of rate of read operations accessing a non-existing key (ops/sec),1,redis_cloud,bdb_read_misses_max,
rdsc.bdb_read_req,gauge,15,request,,Rate of read requests on DB (ops/sec),0,redis_cloud,bdb_read_req,
rdsc.bdb_read_req_max,gauge,15,request,,Highest value of rate of read requests on DB (ops/sec),1,redis_cloud,bdb_read_req_max,
rdsc.bdb_read_res,gauge,15,response,,Rate of read responses on DB (ops/sec),0,redis_cloud,bdb_read_res,
rdsc.bdb_read_res_max,gauge,15,response,,Highest value of rate of read responses on DB (ops/sec),1,redis_cloud,bdb_read_res_max,
rdsc.bdb_shard_cpu_system,gauge,15,cpu,,% cores utilization in system mode for all redis shard processes of this database,0,redis_cloud,bdb_shard_cpu_system,
rdsc.bdb_shard_cpu_system_max,gauge,15,cpu,,Highest value of % cores utilization in system mode for all redis shard processes of this database,1,redis_cloud,bdb_shard_cpu_system_max,
rdsc.bdb_shard_cpu_user,gauge,15,cpu,,% cores utilization in user mode for the redis shard process,0,redis_cloud,bdb_shard_cpu_user,
rdsc.bdb_shard_cpu_user_max,gauge,15,cpu,,Highest value of % cores utilization in user mode for the redis shard process,1,redis_cloud,bdb_shard_cpu_user_max,
rdsc.bdb_total_connections_received,gauge,15,connection,,Rate of new client connections to DB (connections/sec),0,redis_cloud,bdb_total_connections_received,
